,Country,user_id
114948,United States,823552974253342721
115450,United States,816284664658874368
116082,United States,248735463
117064,United States,816833925456789505
118134,United States,1531521632
119630,United States,19318314
119766,United States,950783972
120377,United States,237312687
120420,United States,1080509366
121344,United States,211530910
121720,United States,1849261916
122023,United States,15954997
122396,United States,305216911
122972,United States,234822928
123192,United States,558769636
124261,United States,2968451607
125336,United States,2964877294
125682,United States,518644221
126048,United States,2929491549
126791,United States,816303263586914304
127620,United States,33576489
128532,United States,814103950404239360
129587,United States,817050219007328258
130122,United States,2973870195
130666,United States,2253968388
130667,United States,816157667882373120
131353,United States,1222257180
132050,United States,776664410
132651,United States,816030424778543104
133170,United States,1092979962
133816,United States,1072008757
134311,United States,235190657
134622,United States,462143773
134682,United States,843636970538618880
134900,United States,163570705
135882,United States,162069635
136890,United States,210926192
137381,United States,1045110018
138314,United States,789244177
138841,United States,818713465653051392
140013,United States,976969338
140333,United States,229197216
140932,United States,816012124505931780
141359,United States,834069080
141553,United States,168673083
141861,United States,1128514404
142145,United States,2970279814
143089,United States,995193054
143987,United States,1068499286
144008,United States,1058917562
144976,United States,2968007206
146141,United States,28599820
146479,United States,122174004
147745,United States,584012853
148227,United States,1155335864
148796,United States,818975124460335106
151144,United States,2962868158
155258,United States,37007274
156215,United States,1060487274
156241,United States,806583915012046854
156632,United States,90639372
160853,United States,1140648348
161504,United States,164007407
161518,United States,817076257770835968
164863,United States,1083448909
165152,United States,242772524
165565,United States,124224165
165874,United States,2953974395
166460,United States,815966620300480514
167075,United States,88806753
167571,United States,818536152588238849
168237,United States,240760644
169014,United States,1051127714
169396,United States,32010840
169397,United States,2976606250
170082,United States,26051676
170648,United States,1908143071
170954,United States,22669526
171661,United States,550401754
171713,United States,237763317
172206,United States,2433737761
172603,United States,1058460818
172604,United States,1071102246
173204,United States,233949261
173574,United States,815241612154417152
173644,United States,818554054309715969
174988,United States,1623308912
175716,United States,815733290955112448
178750,United States,240393970
179516,United States,467823431
179805,United States,819744763020775425
180096,United States,40302336
180498,United States,22523087
181673,United States,245451804
182137,United States,796736612554117120
183400,United States,85396297
183733,United States,1055907624
183839,United States,254082173
184374,United States,2966765501
184602,United States,50452197
185359,United States,384913290
185825,United States,33563161
185848,United States,815310506596691968
187275,United States,1260172386
187491,United States,193732179
188130,United States,239949176
188430,United States,2970462034
188938,United States,161743731
189301,United States,2293131060
190554,United States,2862577383
192108,United States,23976316
192109,United States,19926675
